id,nome,abreviacao,escudos,nome_fantasia,escudo_url
1371,Cuiabá,CUI,"{'60x60': 'https://s.sde.globo.com/media/organizations/2014/04/16/cuiaba65.png', '45x45': 'https://s.sde.globo.com/media/organizations/2014/04/16/cuiaba45.png', '30x30': 'https://s.sde.globo.com/media/organizations/2014/04/16/cuiaba30_.png'}",Cuiabá,https://s.sde.globo.com/media/organizations/2014/04/16/cuiaba65.png
262,Flamengo,FLA,"{'60x60': 'https://s.sde.globo.com/media/organizations/2018/04/09/Flamengo-65.png', '45x45': 'https://s.sde.globo.com/media/organizations/2018/04/09/Flamengo-45.png', '30x30': 'https://s.sde.globo.com/media/organizations/2018/04/09/Flamengo-30.png'}",Flamengo,https://s.sde.globo.com/media/organizations/2018/04/09/Flamengo-65.png
263,Botafogo,BOT,"{'60x60': 'https://s.sde.globo.com/media/organizations/2019/02/04/botafogo-65.png', '45x45': 'https://s.sde.globo.com/media/organizations/2019/02/04/botafogo-45.png', '30x30': 'https://s.sde.globo.com/media/organizations/2019/02/04/botafogo-30.png'}",Botafogo,https://s.sde.globo.com/media/organizations/2019/02/04/botafogo-65.png
264,Corinthians,COR,"{'60x60': 'https://s.sde.globo.com/media/organizations/2019/09/30/Corinthians_65.png', '45x45': 'https://s.sde.globo.com/media/organizations/2019/09/30/Corinthians_45.png', '30x30': 'https://s.sde.globo.com/media/organizations/2019/09/30/Corinthians_30.png'}",Corinthians,https://s.sde.globo.com/media/organizations/2019/09/30/Corinthians_65.png
265,Bahia,BAH,"{'60x60': 'https://s.sde.globo.com/media/organizations/2014/04/14/bahia_60x60.png', '45x45': 'https://s.sde.globo.com/media/organizations/2014/04/14/bahia_45x45.png', '30x30': 'https://s.sde.globo.com/media/organizations/2014/04/14/bahia_30x30.png'}",Bahia,https://s.sde.globo.com/media/organizations/2014/04/14/bahia_60x60.png
266,Fluminense,FLU,"{'60x60': 'https://s.sde.globo.com/media/organizations/2014/04/14/fluminense_60x60.png', '45x45': 'https://s.sde.globo.com/media/organizations/2014/04/14/fluminense_45x45.png', '30x30': 'https://s.sde.globo.com/media/organizations/2015/01/12/Fluminense-escudo.png'}",Fluminense,https://s.sde.globo.com/media/organizations/2014/04/14/fluminense_60x60.png
267,Vasco,VAS,"{'60x60': 'https://s.sde.globo.com/media/organizations/2021/09/04/ESCUDO-VASCO-RGB_65px.png', '45x45': 'https://s.sde.globo.com/media/organizations/2021/09/04/ESCUDO-VASCO-RGB_45px.png', '30x30': 'https://s.sde.globo.com/media/organizations/2021/09/04/ESCUDO-VASCO-RGB_30px.png'}",Vasco,https://s.sde.globo.com/media/organizations/2021/09/04/ESCUDO-VASCO-RGB_65px.png
275,Palmeiras,PAL,"{'60x60': 'https://s.sde.globo.com/media/organizations/2014/04/14/palmeiras_60x60.png', '45x45': 'https://s.sde.globo.com/media/organizations/2014/04/14/palmeiras_45x45.png', '30x30': 'https://s.sde.globo.com/media/organizations/2014/04/14/palmeiras_30x30.png'}",Palmeiras,https://s.sde.globo.com/media/organizations/2014/04/14/palmeiras_60x60.png
276,São Paulo,SAO,"{'60x60': 'https://s.sde.globo.com/media/organizations/2014/04/14/sao_paulo_60x60.png', '45x45': 'https://s.sde.globo.com/media/organizations/2014/04/14/sao_paulo_45x45.png', '30x30': 'https://s.sde.globo.com/media/organizations/2014/04/14/sao_paulo_30x30.png'}",São Paulo,https://s.sde.globo.com/media/organizations/2014/04/14/sao_paulo_60x60.png
277,Santos,SAN,"{'60x60': 'https://s.sde.globo.com/media/organizations/2014/04/14/santos_60x60.png', '45x45': 'https://s.sde.globo.com/media/organizations/2014/04/14/santos_45x45.png', '30x30': 'https://s.sde.globo.com/media/organizations/2014/04/14/santos_30x30.png'}",Santos,https://s.sde.globo.com/media/organizations/2014/04/14/santos_60x60.png
