partida_id,clube_casa_id,clube_casa_posicao,clube_visitante_id,aproveitamento_mandante,aproveitamento_visitante,clube_visitante_posicao,partida_data,timestamp,local,valida,placar_oficial_mandante,placar_oficial_visitante,campeonato_id,rodada_id
302573,275,4,1371,"['e', 'v', 'v', 'd', 'd']","['e', 'v', 'e', 'd', 'd']",16,2023-04-15 16:00:00,1681585200,Allianz Parque,True,2,1,26.0,1.0
302580,327,19,266,"['d', 'v', 'e', 'd', 'd']","['d', 'v', 'e', 'e', 'v']",5,2023-04-15 16:00:00,1681585200,Independência,True,0,3,26.0,1.0
302572,263,1,276,"['v', 'd', 'v', 'v', 'v']","['v', 'd', 'd', 'v', 'd']",11,2023-04-15 18:30:00,1681594200,Nilton Santos (Engenhão),True,2,1,26.0,1.0
302575,280,7,265,"['v', 'd', 'e', 'v', 'v']","['d', 'e', 'e', 'v', 'd']",14,2023-04-15 18:30:00,1681594200,Nabi Abi Chedid,True,2,1,26.0,1.0
302578,293,9,290,"['d', 'v', 'e', 'd', 'v']","['d', 'd', 'e', 'v', 'd']",17,2023-04-15 18:30:00,1681594200,Arena da Baixada,True,2,0,26.0,1.0
302579,356,8,285,"['v', 'e', 'd', 'v', 'v']","['v', 'e', 'v', 'v', 'v']",6,2023-04-15 18:30:00,1681594200,Castelão (CE),True,1,1,26.0,1.0
302576,282,10,267,"['e', 'v', 'e', 'e', 'd']","['d', 'd', 'd', 'd', 'v']",18,2023-04-15 21:00:00,1681603200,Mineirão,True,1,2,26.0,1.0
302571,262,3,294,"['e', 'v', 'v', 'd', 'v']","['e', 'd', 'e', 'd', 'd']",20,2023-04-16 16:00:00,1681671600,Maracanã,True,3,0,26.0,1.0
302574,264,15,283,"['v', 'd', 'e', 'v', 'd']","['e', 'd', 'e', 'd', 'v']",12,2023-04-16 16:00:00,1681671600,Neo Química Arena,True,2,1,26.0,1.0
302577,284,2,277,"['v', 'v', 'd', 'v', 'v']","['d', 'e', 'e', 'd', 'd']",13,2023-04-16 18:30:00,1681680600,Alfredo Jaconi,True,1,0,26.0,1.0
302591,266,5,293,"['d', 'v', 'e', 'e', 'v']","['d', 'v', 'e', 'd', 'v']",9,2023-04-22 16:00:00,1682190000,Maracanã,True,2,0,26.0,2.0
302593,276,11,327,"['v', 'd', 'd', 'v', 'd']","['d', 'v', 'e', 'd', 'd']",19,2023-04-22 18:30:00,1682199000,Morumbi,True,3,0,26.0,2.0
