scout,atleta_id,rodada_id,clube_id,posicao_id,status_id,pontos_num,preco_num,variacao_num,media_num,jogos_num,minimo_para_valorizar,gato_mestre,slug,apelido,apelido_abreviado,nome,foto
"{'A': 1, 'CA': 2, 'DS': 15, 'FC': 3, 'FS': 9, 'PC': 1, 'SG': 2}",38144,10,276,2,7,0.5,6.83,-0.72,4.2,8,0.27,"{'media_pontos_mandante': 3.62, 'media_pontos_visitante': 4.78, 'media_minutos_jogados': 83, 'minutos_jogados': 93, 'scouts': {'media': {'SG': 0.25, 'FS': 1.12, 'A': 0.12, 'DS': 1.88, 'FC': 0.38, 'CA': 0.25, 'PC': 0.12}, 'mandante': {'SG': 1, 'FS': 6, 'DS': 7, 'FC': 3, 'CA': 1}, 'visitante': {'SG': 1, 'FS': 3, 'A': 1, 'DS': 8, 'CA': 1, 'PC': 1}}}",rafinha,Rafinha,Rafinha,Márcio Rafael Ferreira de Souza,https://s.sde.globo.com/media/person_role/2022/03/01/de7df71bb9091a8547f8d8bd0212b549_220x220.png
{},86508,10,276,1,6,0.0,5.0,0.0,0.0,0,6.8,"{'media_pontos_mandante': None, 'media_pontos_visitante': None, 'media_minutos_jogados': 0, 'minutos_jogados': 0, 'scouts': {'media': {}, 'mandante': {}, 'visitante': {}}}",jandrei,Jandrei,Jandrei,Jandrei Chitolina Carniel,https://s.sde.globo.com/media/person_role/2022/03/01/aea40f3f23e91096dde97a5b7a877640_220x220.png
"{'A': 2, 'CA': 2, 'DS': 9, 'FC': 5, 'FD': 2, 'FF': 2, 'FS': 5}",82766,10,276,4,6,0.0,6.07,0.0,2.64,9,1.63,"{'media_pontos_mandante': 2.55, 'media_pontos_visitante': 2.72, 'media_minutos_jogados': 52, 'minutos_jogados': 50, 'scouts': {'media': {'FS': 0.56, 'A': 0.22, 'DS': 1, 'FC': 0.56, 'CA': 0.22, 'FF': 0.22, 'FD': 0.22}, 'mandante': {'A': 2, 'DS': 1, 'FC': 2, 'CA': 2, 'FF': 2}, 'visitante': {'FS': 5, 'DS': 8, 'FC': 3, 'FD': 2}}}",wellington-rato,Wellington Rato,W. Rato,Wellington Soares da Silva,https://s.sde.globo.com/media/person_role/2023/03/08/photo_220x220_bPEXkEO.png
"{'A': 1, 'CA': 1, 'DS': 2, 'FC': 26, 'FD': 4, 'FF': 8, 'FS': 23, 'G': 4, 'I': 3}",89840,10,276,5,7,1.3,14.46,-1.21,5.9,9,0.75,"{'media_pontos_mandante': 6.68, 'media_pontos_visitante': 4.9, 'media_minutos_jogados': 87, 'minutos_jogados': 101, 'scouts': {'media': {'FS': 2.56, 'A': 0.11, 'G': 0.44, 'I': 0.33, 'DS': 0.22, 'FC': 2.89, 'CA': 0.11, 'FF': 0.89, 'FD': 0.44}, 'mandante': {'FS': 13, 'A': 1, 'G': 2, 'I': 2, 'DS': 2, 'FC': 13, 'FF': 5, 'FD': 3}, 'visitante': {'FS': 10, 'G': 2, 'I': 1, 'FC': 13, 'CA': 1, 'FF': 3, 'FD': 1}}}",calleri,Calleri,Calleri,Jonathan Calleri,https://s.sde.globo.com/media/person_role/2022/03/01/3abaa943f1546750dd057d6cb3559ce5_220x220.png
"{'DE': 34, 'FS': 1, 'GS': 11, 'SG': 3}",68928,10,276,1,7,0.0,7.57,-0.48,3.85,10,-0.06,"{'media_pontos_mandante': 4.9, 'media_pontos_visitante': 2.8, 'media_minutos_jogados': 101, 'minutos_jogados': 101, 'scouts': {'media': {'SG': 0.3, 'FS': 0.1, 'DE': 3.4, 'GS': 1.1}, 'mandante': {'SG': 2, 'FS': 1, 'DE': 19, 'GS': 5}, 'visitante': {'SG': 1, 'DE': 15, 'GS': 6}}}",rafael,Rafael,Rafael,Rafael Pires Monteiro,https://s.sde.globo.com/media/person_role/2023/03/08/photo_220x220_5tYCknN.png
"{'CA': 1, 'FC': 1, 'FF': 1, 'FS': 4, 'G': 1}",90309,10,276,5,6,-0.5,3.3,-0.37,2.37,4,-0.35,"{'media_pontos_mandante': 4, 'media_pontos_visitante': 0.75, 'media_minutos_jogados': 30, 'minutos_jogados': 8, 'scouts': {'media': {'FS': 1, 'G': 0.25, 'FC': 0.25, 'CA': 0.25, 'FF': 0.25}, 'mandante': {'FS': 2, 'G': 1, 'CA': 1}, 'visitante': {'FS': 2, 'FC': 1, 'FF': 1}}}",david,David,David,David Correa da Fonseca,https://s.sde.globo.com/media/person_role/2023/03/08/photo_220x220_zc5jjjt.png
"{'DS': 12, 'FC': 1, 'FF': 2, 'FS': 3, 'FT': 1, 'I': 2, 'SG': 2}",91573,10,276,3,7,6.2,9.27,0.5,5.0,6,3.98,"{'media_pontos_mandante': 6.87, 'media_pontos_visitante': 3.13, 'media_minutos_jogados': 101, 'minutos_jogados': 101, 'scouts': {'media': {'SG': 0.33, 'FS': 0.5, 'FT': 0.17, 'I': 0.33, 'DS': 2, 'FC': 0.17, 'FF': 0.33}, 'mandante': {'SG': 2, 'FT': 1, 'DS': 5, 'FF': 2}, 'visitante': {'FS': 3, 'I': 2, 'DS': 7, 'FC': 1}}}",arboleda,Arboleda,Arboleda,Robert Abel Arboleda Escobar,https://s.sde.globo.com/media/person_role/2022/03/01/a2548066433583acdc68badc1f1e35bf_220x220.png
{},95466,10,276,2,5,0.0,6.0,0.0,0.0,0,8.22,"{'media_pontos_mandante': None, 'media_pontos_visitante': None, 'media_minutos_jogados': 0, 'minutos_jogados': 0, 'scouts': {'media': {}, 'mandante': {}, 'visitante': {}}}",igor-vinicius,Igor Vinícius,I. Vinícius,Igor Vinícius de Souza,https://s.sde.globo.com/media/person_role/2022/03/01/1896fe9a90e6307ac1586be9aafcb04e_220x220.png
"{'A': 2, 'CA': 1, 'DS': 14, 'FC': 11, 'FD': 1, 'FF': 4, 'FS': 9, 'I': 1}",81845,10,276,4,7,-0.4,5.21,-0.55,3.12,10,-0.32,"{'media_pontos_mandante': 4.06, 'media_pontos_visitante': 2.2, 'media_minutos_jogados': 59, 'minutos_jogados': 51, 'scouts': {'media': {'FS': 0.9, 'A': 0.2, 'I': 0.1, 'DS': 1.4, 'FC': 1.1, 'CA': 0.1, 'FF': 0.4, 'FD': 0.1}, 'mandante': {'FS': 4, 'A': 2, 'DS': 8, 'FC': 7, 'FF': 1}, 'visitante': {'FS': 5, 'I': 1, 'DS': 6, 'FC': 4, 'CA': 1, 'FF': 3, 'FD': 1}}}",alisson,Alisson,Alisson,Alisson Euler de Freitas Castro,https://s.sde.globo.com/media/person_role/2022/03/01/14ebdbca4e280cd9dfdb9b7e2148afe0_220x220.png
"{'CA': 2, 'DS': 12, 'FC': 4, 'FS': 1}",98976,10,276,4,7,2.1,3.4,-0.03,1.3,9,1.34,"{'media_pontos_mandante': 1.46, 'media_pontos_visitante': 1.1, 'media_minutos_jogados': 50, 'minutos_jogados': 51, 'scouts': {'media': {'FS': 0.11, 'DS': 1.33, 'FC': 0.44, 'CA': 0.22}, 'mandante': {'FS': 1, 'DS': 7, 'FC': 2, 'CA': 1}, 'visitante': {'DS': 5, 'FC': 2, 'CA': 1}}}",gabriel,Gabriel,Gabriel,Gabriel Neves Perdomo,https://s.sde.globo.com/media/person_role/2022/03/01/adf4c737eb27b74c772b8985d18c9044_220x220.png
