escudos,nome,abreviacao,slug,apelido,nome_fantasia,id,url_editoria,escudo_url
"{'60x60': 'https://s.sde.globo.com/media/organizations/2014/04/16/cuiaba65.png', '45x45': 'https://s.sde.globo.com/media/organizations/2014/04/16/cuiaba45.png', '30x30': 'https://s.sde.globo.com/media/organizations/2014/04/16/cuiaba30_.png'}",Cuiabá,CUI,cuiaba,Dourado,Cuiabá,1371,https://ge.globo/cuiaba,https://s.sde.globo.com/media/organizations/2014/04/16/cuiaba65.png
"{'60x60': 'https://s.sde.globo.com/media/organizations/2018/04/09/Flamengo-65.png', '45x45': 'https://s.sde.globo.com/media/organizations/2018/04/09/Flamengo-45.png', '30x30': 'https://s.sde.globo.com/media/organizations/2018/04/09/Flamengo-30.png'}",Flamengo,FLA,flamengo,Mengão,Flamengo,262,https://ge.globo/flamengo,https://s.sde.globo.com/media/organizations/2018/04/09/Flamengo-65.png
"{'60x60': 'https://s.sde.globo.com/media/organizations/2019/02/04/botafogo-65.png', '45x45': 'https://s.sde.globo.com/media/organizations/2019/02/04/botafogo-45.png', '30x30': 'https://s.sde.globo.com/media/organizations/2019/02/04/botafogo-30.png'}",Botafogo,BOT,botafogo,Glorioso,Botafogo,263,https://ge.globo/botafogo,https://s.sde.globo.com/media/organizations/2019/02/04/botafogo-65.png
"{'60x60': 'https://s.sde.globo.com/media/organizations/2019/09/30/Corinthians_65.png', '45x45': 'https://s.sde.globo.com/media/organizations/2019/09/30/Corinthians_45.png', '30x30': 'https://s.sde.globo.com/media/organizations/2019/09/30/Corinthians_30.png'}",Corinthians,COR,corinthians,Timão,Corinthians,264,https://ge.globo/corinthians,https://s.sde.globo.com/media/organizations/2019/09/30/Corinthians_65.png
"{'60x60': 'https://s.sde.globo.com/media/organizations/2014/04/14/bahia_60x60.png', '45x45': 'https://s.sde.globo.com/media/organizations/2014/04/14/bahia_45x45.png', '30x30': 'https://s.sde.globo.com/media/organizations/2014/04/14/bahia_30x30.png'}",Bahia,BAH,bahia,Tricolor de Aço,Bahia,265,https://ge.globo/bahia,https://s.sde.globo.com/media/organizations/2014/04/14/bahia_60x60.png
"{'60x60': 'https://s.sde.globo.com/media/organizations/2014/04/14/fluminense_60x60.png', '45x45': 'https://s.sde.globo.com/media/organizations/2014/04/14/fluminense_45x45.png', '30x30': 'https://s.sde.globo.com/media/organizations/2015/01/12/Fluminense-escudo.png'}",Fluminense,FLU,fluminense,Tricolor,Fluminense,266,https://ge.globo/fluminense,https://s.sde.globo.com/media/organizations/2014/04/14/fluminense_60x60.png
"{'60x60': 'https://s.sde.globo.com/media/organizations/2021/09/04/ESCUDO-VASCO-RGB_65px.png', '45x45': 'https://s.sde.globo.com/media/organizations/2021/09/04/ESCUDO-VASCO-RGB_45px.png', '30x30': 'https://s.sde.globo.com/media/organizations/2021/09/04/ESCUDO-VASCO-RGB_30px.png'}",Vasco,VAS,vasco,Gigante da Colina,Vasco,267,https://ge.globo/vasco,https://s.sde.globo.com/media/organizations/2021/09/04/ESCUDO-VASCO-RGB_65px.png
"{'60x60': 'https://s.sde.globo.com/media/organizations/2014/04/14/palmeiras_60x60.png', '45x45': 'https://s.sde.globo.com/media/organizations/2014/04/14/palmeiras_45x45.png', '30x30': 'https://s.sde.globo.com/media/organizations/2014/04/14/palmeiras_30x30.png'}",Palmeiras,PAL,palmeiras,Verdão,Palmeiras,275,https://ge.globo/palmeiras,https://s.sde.globo.com/media/organizations/2014/04/14/palmeiras_60x60.png
"{'60x60': 'https://s.sde.globo.com/media/organizations/2014/04/14/sao_paulo_60x60.png', '45x45': 'https://s.sde.globo.com/media/organizations/2014/04/14/sao_paulo_45x45.png', '30x30': 'https://s.sde.globo.com/media/organizations/2014/04/14/sao_paulo_30x30.png'}",São Paulo,SAO,sao-paulo,Tricolor,São Paulo,276,https://ge.globo/sao-paulo,https://s.sde.globo.com/media/organizations/2014/04/14/sao_paulo_60x60.png
"{'60x60': 'https://s.sde.globo.com/media/organizations/2014/04/14/santos_60x60.png', '45x45': 'https://s.sde.globo.com/media/organizations/2014/04/14/santos_45x45.png', '30x30': 'https://s.sde.globo.com/media/organizations/2014/04/14/santos_30x30.png'}",Santos,SAN,santos,Peixe,Santos,277,https://ge.globo/santos,https://s.sde.globo.com/media/organizations/2014/04/14/santos_60x60.png
"{'60x60': 'https://s.sde.globo.com/media/organizations/2020/01/01/65.png', '45x45': 'https://s.sde.globo.com/media/organizations/2020/01/01/45.png', '30x30': 'https://s.sde.globo.com/media/organizations/2020/01/01/30.png'}",Bragantino,BGT,bragantino,Massa Bruta,Bragantino,280,https://ge.globo/bragantino,https://s.sde.globo.com/media/organizations/2020/01/01/65.png
"{'60x60': 'https://s.sde.globo.com/media/organizations/2017/11/23/Atletico-Mineiro-escudo65px.png', '45x45': 'https://s.sde.globo.com/media/organizations/2017/11/23/Atletico-Mineiro-escudo45px.png', '30x30': 'https://s.sde.globo.com/media/organizations/2017/11/23/Atletico-Mineiro-escudo30px.png'}",Atlético-MG,CAM,atletico-mg,Galo,Atlético-MG,282,https://ge.globo/atletico-mg,https://s.sde.globo.com/media/organizations/2017/11/23/Atletico-Mineiro-escudo65px.png
"{'60x60': 'https://s.sde.globo.com/media/organizations/2021/02/13/65_cruzeiro-2021.png', '45x45': 'https://s.sde.globo.com/media/organizations/2021/02/13/45_cruzeiro-2021.png', '30x30': 'https://s.sde.globo.com/media/organizations/2021/02/13/30_cruzeiro-2021.png'}",Cruzeiro,CRU,cruzeiro,Raposa,Cruzeiro,283,https://ge.globo/cruzeiro,https://s.sde.globo.com/media/organizations/2021/02/13/65_cruzeiro-2021.png
"{'60x60': 'https://s.sde.globo.com/media/organizations/2014/04/14/gremio_60x60.png', '45x45': 'https://s.sde.globo.com/media/organizations/2014/04/14/gremio_45x45.png', '30x30': 'https://s.sde.globo.com/media/organizations/2014/04/14/gremio_30x30.png'}",Grêmio,GRE,gremio,Imortal,Grêmio,284,https://ge.globo/gremio,https://s.sde.globo.com/media/organizations/2014/04/14/gremio_60x60.png
"{'60x60': 'https://s.sde.globo.com/media/organizations/2016/05/03/inter65.png', '45x45': 'https://s.sde.globo.com/media/organizations/2016/05/03/inter45.png', '30x30': 'https://s.sde.globo.com/media/organizations/2016/05/03/inter30.png'}",Internacional,INT,internacional,Colorado,Internacional,285,https://ge.globo/internacional,https://s.sde.globo.com/media/organizations/2016/05/03/inter65.png
"{'60x60': 'https://s.sde.globo.com/media/organizations/2021/03/01/goias-65.png', '45x45': 'https://s.sde.globo.com/media/organizations/2021/03/01/goias-45.png', '30x30': 'https://s.sde.globo.com/media/organizations/2021/03/01/goias-30.png'}",Goiás,GOI,goias,Esmeraldino,Goiás,290,https://ge.globo/goias,https://s.sde.globo.com/media/organizations/2021/03/01/goias-65.png
"{'60x60': 'https://s.sde.globo.com/media/organizations/2019/09/09/Athletico-PR-65x65.png', '45x45': 'https://s.sde.globo.com/media/organizations/2019/09/09/Athletico-PR-45x45.png', '30x30': 'https://s.sde.globo.com/media/organizations/2019/09/09/Athletico-PR-30x30.png'}",Athlético-PR,CAP,atletico-pr,Furacão,Athlético-PR,293,https://ge.globo/atletico-pr,https://s.sde.globo.com/media/organizations/2019/09/09/Athletico-PR-65x65.png
"{'60x60': 'https://s.sde.globo.com/media/organizations/2017/03/29/coritiba65.png', '45x45': 'https://s.sde.globo.com/media/organizations/2017/03/29/coritiba45.png', '30x30': 'https://s.sde.globo.com/media/organizations/2017/03/29/coritiba30.png'}",Coritiba,CFC,coritiba,Coxa,Coritiba,294,https://ge.globo/coritiba,https://s.sde.globo.com/media/organizations/2017/03/29/coritiba65.png
"{'60x60': 'https://s.sde.globo.com/media/organizations/2019/02/28/escudo65_1.png', '45x45': 'https://s.sde.globo.com/media/organizations/2019/02/28/escudo45_1.png', '30x30': 'https://s.sde.globo.com/media/organizations/2019/02/28/escudo30.png'}",América-MG,AME,america-mg,Coelho,América-MG,327,https://ge.globo/america-mg,https://s.sde.globo.com/media/organizations/2019/02/28/escudo65_1.png
"{'60x60': 'https://s.sde.globo.com/media/organizations/2021/09/19/65_0000_Fortaleza-2021.png', '45x45': 'https://s.sde.globo.com/media/organizations/2021/09/19/45_0000_Fortaleza-2021.png', '30x30': 'https://s.sde.globo.com/media/organizations/2021/09/19/30_0000_Fortaleza-2021.png'}",Fortaleza,FOR,fortaleza,Leão do Pici,Fortaleza,356,https://ge.globo/fortaleza,https://s.sde.globo.com/media/organizations/2021/09/19/65_0000_Fortaleza-2021.png
