rod_num,clube_name,opposing_team_name,player_name,nationality,age,minutes_played,chutes_recebidos_no_gol,GS,defesas,%_defesas,psxg,lancamentos_completos,lancamentos_attempt,lancamentos_sucesso_%,passes_attempt,passes_mao,%_passes_lancamento,distancia_media_lancamento,tiro_meta,lancamentos_tiro_meta,distancia_media_tiro_meta,cruzamentos_adv_area,cruzamentos_adv_area_interrompidos,cruzamentos_adv_area_interrompidos_%,acoes_defensivas_fora_area,distancia_media_acoes_defensivas,atleta_id
1,América-MG,Fluminense,Matheus Cavichioli,br BRA,36-262,90,8,3.0,4,62.5,3.9,2.0,9.0,22.2,18.0,2.0,50.0,36.0,4.0,0.0,16.0,5.0,0.0,0.0,4.0,27.3,72580
1,Fluminense,América-MG,Fábio,br BRA,42-197,90,2,0.0,2,100.0,1.0,0.0,8.0,0.0,38.0,1.0,18.4,25.1,16.0,6.3,5.9,32.0,1.0,3.1,1.0,12.0,37656
1,Palmeiras,Cuiabá,Wéverton,br BRA,35-123,90,4,1.0,3,75.0,1.6,9.0,17.0,52.9,29.0,2.0,41.4,36.3,12.0,41.7,35.9,12.0,1.0,8.3,0.0,7.0,71631
1,Cuiabá,Palmeiras,Walter,br BRA,35-148,90,5,2.0,3,60.0,1.8,6.0,14.0,42.9,21.0,3.0,42.9,35.6,8.0,62.5,37.5,20.0,1.0,5.0,3.0,15.3,51413
1,Bragantino,Bahia,Lucão,br BRA,22-048,90,3,1.0,2,66.7,0.9,5.0,11.0,45.5,23.0,8.0,30.4,30.3,7.0,57.1,40.6,12.0,0.0,0.0,0.0,7.0,106160
1,Bahia,Bragantino,Marcos Felipe,br BRA,27-002,90,7,2.0,5,71.4,2.5,2.0,14.0,14.3,22.0,0.0,45.5,40.7,13.0,30.8,32.6,11.0,1.0,9.1,0.0,9.3,85004
1,Botafogo,São Paulo,Lucas Perri,br BRA,25-126,90,8,1.0,7,87.5,1.4,7.0,16.0,43.8,15.0,4.0,86.7,50.3,7.0,42.9,35.0,14.0,0.0,0.0,0.0,,91260
1,São Paulo,Botafogo,Rafael Pires,br BRA,33-296,90,3,2.0,1,33.3,1.2,0.0,10.0,0.0,33.0,6.0,21.2,27.5,6.0,50.0,48.0,12.0,1.0,8.3,5.0,19.8,68928
1,Athlético-PR,Goiás,Bento,br BRA,23-309,90,2,0.0,2,100.0,0.7,4.0,9.0,44.4,14.0,3.0,21.4,27.7,10.0,60.0,50.5,17.0,1.0,5.9,0.0,7.0,105208
1,Goiás,Athlético-PR,Tadeu,br BRA,31-070,90,3,2.0,1,33.3,1.4,4.0,14.0,28.6,41.0,4.0,34.1,30.7,5.0,0.0,17.4,15.0,0.0,0.0,1.0,15.5,82453
