rod_num,clube_name,opposing_team_name,player_name,shirt_number,nationality,position_fbref,age,minutes_played,duelos_aereos_vencidos,duelos_aereos_perdidos,%_duelos_vencidos,divididas,divididas_vencidas,divididas_first_third,divididas_mid_third,divididas_last_third,bloqueios,bloqueios_chutes,bloqueios_passes,rasgadas_de_bola,erros_para_chute_adv,passes_attempt,passes_attempt.1,passes_bola_rolando,passes_bola_parada,passes_faltas,passes_lancamento,passes_virada_jogo,cruzamentos,passes_laterais,escanteios,escanteios_fechados,escanteios_abertos,escanteios_retos,passes_completed,passes_completed.1,passes_impedimento,passes_bloqueados,passes_accuracy_%,total_distance_passes,total_forward_distance_passes,short_passes_completed,short_passes_attempt,short_passes_accuracy_%,medium_passes_completed,medium_passes_attempt,medium_passes_accuracy_%,long_passes_completed,long_passes_attempt,long_passes_accuracy_%,A,xag,xA,assisted_shots,passes_in_last_third,passes_into_adv_area,crosses_into_adv_area,progressive_passes,G,penalty_goals,penltay_attempt,F,FD,CA,CV,ball_touches,intercepctacoes,blocks,xg,npxg,sca,gca,passes_completed.2,passes_completed.3,passes_attempt.2,passes_attempt.3,ball_carries,progressive_ball_carries,dribles_attempt,dribles_success,atleta_id
1,América-MG,Fluminense,Henrique Almeida,19.0,br BRA,FW,31-323,62,0.0,3.0,0.0,2.0,1,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,5.0,3.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,87.5,62.0,12.0,6.0,7.0,85.7,0.0,0.0,,0.0,0.0,,0,0.3,0.3,2.0,1.0,0.0,0.0,1.0,0,0,0,4,0,0,0,16.0,0,0.0,0.3,0.3,4.0,0.0,7.0,7.0,8.0,8.0,6.0,0.0,2.0,1.0,68773
1,América-MG,Fluminense,Wellington Paulista,9.0,br BRA,FW,38-358,28,2.0,2.0,50.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,3.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,50.0,21.0,0.0,2.0,2.0,100.0,0.0,2.0,0.0,0.0,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,4,0,0,0,9.0,0,0.0,0.3,0.3,0.0,0.0,2.0,2.0,4.0,4.0,4.0,0.0,0.0,0.0,38279
1,América-MG,Fluminense,Felipe Azevedo,11.0,br BRA,LW,36-095,68,0.0,2.0,0.0,1.0,1,1.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,17.0,17.0,16.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,12.0,12.0,1.0,1.0,70.6,187.0,87.0,8.0,9.0,88.9,3.0,4.0,75.0,1.0,1.0,100.0,0,0.0,0.0,0.0,3.0,0.0,0.0,4.0,0,0,0,1,0,0,0,21.0,1,2.0,0.0,0.0,0.0,0.0,12.0,12.0,17.0,17.0,15.0,0.0,0.0,0.0,60825
1,América-MG,Fluminense,Matheusinho,7.0,br BRA,"LW,RW",25-063,22,0.0,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,11.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,90.9,248.0,83.0,2.0,2.0,100.0,5.0,5.0,100.0,3.0,4.0,75.0,0,0.1,0.1,2.0,2.0,1.0,1.0,2.0,0,0,0,0,0,0,0,13.0,0,0.0,0.0,0.0,2.0,0.0,10.0,10.0,11.0,11.0,11.0,0.0,1.0,1.0,93886
1,América-MG,Fluminense,Everaldo,37.0,br BRA,RW,28-322,62,0.0,2.0,0.0,1.0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,32.0,32.0,30.0,1.0,0.0,0.0,1.0,5,1.0,0.0,0.0,0.0,0.0,20.0,20.0,1.0,0.0,62.5,352.0,106.0,8.0,9.0,88.9,10.0,13.0,76.9,2.0,6.0,33.3,0,0.1,0.0,1.0,3.0,1.0,0.0,4.0,0,0,0,2,1,0,0,40.0,0,0.0,0.0,0.0,2.0,0.0,20.0,20.0,32.0,32.0,28.0,0.0,0.0,0.0,91151
1,América-MG,Fluminense,Adyson,44.0,br BRA,"RW,LW",17-205,28,0.0,0.0,,1.0,1,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,27.0,27.0,25.0,2.0,1.0,0.0,0.0,10,0.0,1.0,0.0,1.0,0.0,18.0,18.0,0.0,2.0,66.7,310.0,126.0,8.0,10.0,80.0,9.0,12.0,75.0,1.0,2.0,50.0,0,0.1,0.2,1.0,0.0,2.0,1.0,2.0,0,0,0,0,0,0,0,35.0,2,1.0,0.0,0.0,2.0,0.0,18.0,18.0,27.0,27.0,20.0,2.0,1.0,1.0,115998
1,América-MG,Fluminense,Juninho,8.0,br BRA,AM,35-174,90,1.0,1.0,50.0,3.0,1,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,23.0,23.0,22.0,1.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,18.0,18.0,0.0,0.0,78.3,256.0,59.0,9.0,10.0,90.0,7.0,8.0,87.5,1.0,2.0,50.0,0,0.1,0.2,1.0,2.0,0.0,0.0,3.0,0,0,0,2,1,0,0,32.0,1,0.0,0.3,0.3,4.0,0.0,18.0,18.0,23.0,23.0,14.0,0.0,1.0,1.0,82381
1,América-MG,Fluminense,Ale,16.0,br BRA,DM,32-313,90,1.0,0.0,100.0,2.0,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,45.0,42.0,3.0,3.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,40.0,40.0,0.0,0.0,88.9,826.0,245.0,12.0,16.0,75.0,22.0,23.0,95.7,5.0,5.0,100.0,0,0.0,0.5,0.0,1.0,1.0,0.0,6.0,0,0,0,2,0,0,0,53.0,2,0.0,0.1,0.1,0.0,0.0,40.0,40.0,45.0,45.0,30.0,0.0,2.0,1.0,86388
1,América-MG,Fluminense,Leandro Emmanuel Martínez,5.0,ar ARG,DM,28-315,72,0.0,2.0,0.0,0.0,0,0.0,0.0,0.0,3.0,1.0,2.0,0.0,0.0,43.0,43.0,32.0,11.0,2.0,0.0,1.0,6,1.0,8.0,1.0,1.0,0.0,34.0,34.0,0.0,1.0,79.1,504.0,109.0,18.0,18.0,100.0,9.0,12.0,75.0,4.0,10.0,40.0,0,0.1,0.1,2.0,4.0,2.0,1.0,3.0,0,0,0,0,0,0,0,54.0,2,3.0,0.0,0.0,4.0,0.0,34.0,34.0,43.0,43.0,30.0,2.0,4.0,2.0,103388
1,América-MG,Fluminense,Lucas Kal,21.0,br BRA,DM,27-030,18,0.0,0.0,,0.0,0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,14.0,14.0,14.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,13.0,13.0,0.0,1.0,92.9,265.0,76.0,6.0,6.0,100.0,2.0,2.0,100.0,4.0,4.0,100.0,0,0.0,0.0,0.0,2.0,1.0,1.0,5.0,0,0,0,0,0,0,0,17.0,0,1.0,0.0,0.0,1.0,0.0,13.0,13.0,14.0,14.0,9.0,0.0,0.0,0.0,95662
